index,address_original,address,price,type,pType,pWidth,pLength,pArea,pLandArea,pNumberOfFloors,pNumberOfBathrooms,pNumberOfBedrooms,pCertificateType,pFurnitureStatus,description,_createdAt
1263,"1/6 Phó Đức Chính, Nguyễn Thái Bình, 1, Hồ Chí Minh","1/6 Phó Đức Chính, Nguyễn Thái Bình, Quận 1, Thành phố Hồ Chí Minh",8800000000,sale,alley_house,3.4,10.5,101.04,35.7,2,2,2,certificate,partially_furnished,"Nhà riêng cần bán tại hẻm 1/6 đường Phó Đức Chính, Phường Nguyễn Thái Bình, Quận 1, TP.HCM. Diện tích: 35m2 Giá bán: 8,8 tỷ Nhà nằm trong ngõ, phù hợp để ở hoặc đầu tư.",2025-08-13T07:38:42.965Z
1264,"25 đường 179, Tân Phú, Thủ Đức, Hồ Chí Minh","25 đường 179, Tân Phú, Thủ Đức, Thành phố Hồ Chí Minh",6350000000,sale,townhouse,4,23,67.9,75.5,1,2,2,certificate,partially_furnished,"Bán nhà mặt tiền đường 179, Phường Tân Phú, TP Thủ Đức (Quận 9 cũ) Địa chỉ: Số 25, đường 179, Phường Tân Phú Diện tích: 4x23m diện tích công nhận 75,5m2 Hướng: Tây Bắc Nhà cấp 4, mới 100%, gồm: sân để xe hơi, phòng khách, 2 phòng ngủ, 2 nhà vệ sinh, bếp Đã có sổ hồng Giá bán: 6,35 tỷ (TL)",2025-08-13T07:38:32.797Z
1265,"399/11 Bình Quới, 28, Bình Thạnh, Hồ Chí Minh","399/11 Bình Quới, Phường 28, Bình Thạnh, Thành phố Hồ Chí Minh",10000000000,sale,alley_house,5.41,21.5,96.2,116.2,2,2,3,certificate,other,"Bán nhà 399/11 Bình Quới Phường 28 Quận Bình Thạnh Thành phố Hồ Chí Minh - Diiện tích 116m² - Kết cấu: đã xây dựng sẵn nhà 1 trệt, 1 lầu Gồm 3 phòng ngủ, bếp, 2 phòng vệ sinh, phòng khách và sân lớn đậu được 2 xe hơi - Giá bán: 10 tỷ TL",2025-08-13T07:34:57.785Z
1266,"16 Đường Số 28 Phường An Phú, Thủ Đức, Thành phố Hồ Chí Minh Việt Nam","16 Đường Số 28 Phường An Phú, Thủ Đức, Thành phố Hồ Chí Minh Việt Nam",68500000000,sale,townhouse,10,20,0,195,2,4,1,certificate,other,"Nhà phố mặt tiền cần bán tại số 16, đường Số 28, phường An Phú, Thủ Đức, TP. Hồ Chí Minh. Diện tích 195 m² Hiện trạng: nhà 2 tầng - đang cho thuê Giá bán 68,5 tỷ TL",2025-08-13T07:28:15.910Z
1267,"61 Đường Gò Dầu, Tân Quý, Tân Phú, Hồ Chí Minh","61 Đường Gò Dầu, Tân Quý, Tân Phú, Thành phố Hồ Chí Minh",17300000000,sale,townhouse,4,19.7,245.4,79.4,3,3,5,certificate,other,"Nhà phố mặt tiền cần bán tại số 61 Gò Dầu, phường Tân Quý, quận Tân Phú, TP. Hồ Chí Minh. Diện tích 79.4m² Giá bán 17,3 tỷ TL",2025-08-13T07:27:22.957Z
1268,"30/14 Lò Siêu, 16, 11, Hồ Chí Minh","30/14 Lò Siêu, Phường 16, Quận 11, Thành phố Hồ Chí Minh",13500000000,sale,alley_house,4,13.3,197.6,53.2,4,4,5,certificate,other,"Bán nhà tại địa chỉ 30/14 Lò Siêu, phường 16, Quận 11, TP. Hồ Chí Minh. Diện tích 53.2m² Giá bán 13,5 tỷ TL",2025-08-13T07:17:44.070Z
1269,"136 đường TA11 , KP19 Lê Thị Riêng, Thới An, 12, Hồ Chí Minh","136 đường TA11, KP19 Lê Thị Riêng, Thới An, 12, Hồ Chí Minh",8700000000,sale,townhouse,8,16.16,171.1,130.5,3,2,4,certificate,other,"Nhà mặt tiền 1 trệt 2 lầu cần bán trên đường Lê Thị Riêng, Phường Thới An, Quận 12, TP. Hồ Chí Minh. Diện tích: 130 m2 Giá bán: 8,7 tỷ Vị trí thuận tiện, mặt phố sầm uất, thích hợp kinh doanh hoặc để ở.",2025-08-13T06:40:01.646Z
1270,"10 đường số 5F, Bình Hưng Hoà A, Bình Tân, Hồ Chí Minh","10 đường số 5F, Bình Hưng Hoà A, Bình Tân, Thành phố Hồ Chí Minh",4000000000,sale,alley_house,4.02,6.11,48.8,24.4,2,1,1,certificate,other,"Nhà riêng cần bán trong hẻm đường số 5F, Phường Bình Hưng Hoà A, Quận Bình Tân, TP. Hồ Chí Minh. Diện tích: 24.4m2 Giá bán: 4 tỷ Nhà nằm trong ngõ, phù hợp để ở hoặc đầu tư.",2025-08-13T04:42:02.503Z
1271,"300/104 Xô Viết Nghệ Tĩnh Phường 21, Bình Thạnh, Thành phố Hồ Chí Minh Việt Nam","300/104 Xô Viết Nghệ Tĩnh Phường 21, Bình Thạnh, Thành phố Hồ Chí Minh Việt Nam",7800000000,sale,alley_house,4.4,16.39,110.2,70.2,2,2,2,certificate,other,"Bán nhà tại địa chỉ 300/104 Xô Viết Nghệ Tĩnh, P.21, Bình Thạnh, TP. Hồ Chí Minh Diện tích: 70.2m² Giá bán: 7.8 tỷ VNĐ TL",2025-08-13T04:21:31.417Z
1272,"4/13 Văn Chung, 13, Tân Bình, Hồ Chí Minh","4/13 Văn Chung, Phường 13, Tân Bình, Thành phố Hồ Chí Minh",28000000000,sale,alley_house,7.06,21.1,384.3,129.9,6,33,33,certificate,other,"Bán nhà tại số 4/32 đường Văn Chung, phường 13, quận Tân Bình, TP. Hồ Chí Minh Diện tích: 141,8m² Kết cấu: 6 tầng - 33 căn hộ dịch vụ đang tự khai thác Giá bán: 28 tỷ TL",2025-08-13T04:18:40.946Z
1273,"7/40 Nguyễn Văn Nghi Phường 7, Quận Gò Vấp, Thành phố Hồ Chí Minh Việt Nam","7/40 Nguyễn Văn Nghi Phường 7, Quận Gò Vấp, Thành phố Hồ Chí Minh Việt Nam",6800000000,sale,alley_house,3.8,10,77.5,38,2,2,2,certificate,other,"Nhà riêng 1 trệt 1 lầu cần bán tại hẻm 7/40 đường Nguyễn Văn Nghi, Phường 7, Quận Gò Vấp, TP. Hồ Chí Minh. Diện tích: 60m2 Giá bán: 6,8 tỷ Nhà nằm trong ngõ, phù hợp để ở hoặc đầu tư.",2025-08-13T04:16:34.202Z
1274,"124/104/7 Xô Viết Nghệ Tĩnh, 2, Bình Thạnh, Hồ Chí Minh","124/104/7 Xô Viết Nghệ Tĩnh, Phường 2, Bình Thạnh, Thành phố Hồ Chí Minh",5000000000,sale,alley_house,3.32,10.88,56.5,29.4,2,2,2,certificate,other,"Nhà riêng cần bán tại hẻm 124, đường Xô Viết Nghệ Tĩnh, Phường 21, Quận Bình Thạnh, TP. Hồ Chí Minh. Giá bán: 5 tỷ Nhà nằm trong hẻm, phù hợp cho gia đình nhỏ hoặc đầu tư. Liên hệ để biết thêm chi tiết.",2025-08-13T04:04:11.965Z
1275,"98 Lê Hoàng Phái, 17, Gò Vấp, Hồ Chí Minh","98 Lê Hoàng Phái, Phường 17, Gò Vấp, Thành phố Hồ Chí Minh",11000000000,sale,townhouse,3.2,24.96,185.8,60.6,5,4,5,certificate,other,"Nhà mặt tiền 1 trêt 3 lầu + sân thượng đường Lê Hoàng Phái, Phường 17, Quận Gò Vấp, Hồ Chí Minh cần bán. Diện tích: 61m2 Giá bán: 11 tỷ Vị trí đắc địa, thuận tiện kinh doanh hoặc để ở.",2025-08-13T04:01:33.071Z
1276,"884 Đường Âu Cơ, 14, Tân Bình, Hồ Chí Minh","884 Đường Âu Cơ, Phường 14, Tân Bình, Thành phố Hồ Chí Minh",20000000000,sale,townhouse,4,26,312.1,89.4,4,6,6,certificate,partially_furnished,"Bán nhà MT 884 Âu Cơ, phường 14, quận Tân Bình - Diện tích nhà: 4.2x26 - Hiện trạng nhà: 1 trệt, 3 lầu, sân thượng, 6pn, 6wc nhà còn mới đẹp - Vị trí: kinh doanh buôn bán cực kỳ sầm uất, nhà gần ngã tư Luỹ Bán Bích- Ba Vân và Âu Cơ - Đang cho thuê - Giá bán: 20 tỷ",2025-08-13T03:58:07.448Z
1277,"142 Luỹ Bán Bích, Tân Thới Hòa, Tân Phú, Hồ Chí Minh","142 Luỹ Bán Bích, Tân Thới Hòa, Tân Phú, Thành phố Hồ Chí Minh",9900000000,sale,townhouse,4.1,16,229.93,75.16,3,2,3,certificate,partially_furnished,"Nhà bán MTKD số 142 LŨY BÁN BÍCH - P. TÂN THỚI HOÀ-Q.TÂN PHÚ . Diện tích :4.1m(Nở hậu 6.4m )x 16.4m - Diện tích đất CN:75m2 - Diện tích sàn xây dựng: 230m2. (Nhà trệt + 2 lầu BTCT) - Đường 23m,gần ngã tư Hòa Bình-Lũy Bán Bích,gần Đầm Sen,Q5,Q10,Q11,trường học, bệnh viện….Mặt tiền kinh doanh .Sổ hồng công chứng ngay. -Giá: 9.9 tỷ TL",2025-08-13T03:52:41.672Z
1278,"47 Đường 52B, Tân Tạo, Bình Tân, Hồ Chí Minh","47 Đường 52B, Tân Tạo, Bình Tân, Thành phố Hồ Chí Minh",16700000000,sale,townhouse,5,22.5,399.5,112.5,5,24,27,certificate,other,"Bán nhà phố mặt tiền tại địa chỉ 47 đường 52B, P. Tân Tạo, Bình Tân, TP. Hồ Chí Minh Kết cấu: Trệt, lững 2 lầu + sân thượng Căn hộ dịch vụ, đang được cho thuê Diện tích: 112,5m² Giá bán: 16,7 tỷ TL",2025-08-13T03:51:18.957Z
1279,"301 Đường Tân Hóa, Hòa Thạnh, Tân Phú, Hồ Chí Minh","301 Đường Tân Hóa, Hòa Thạnh, Tân Phú, Thành phố Hồ Chí Minh",41000000000,sale,townhouse,15,20,319.78,245.68,2,1,1,certificate,partially_furnished,"Nhà cấp 4 mặt tiền cần bán tại địa chỉ 301 Tân Hóa, phường Hòa Thạnh, quận Tân Phú, TP. Hồ Chí Minh. Diện tích rộng 245.68m², Giá bán 41 tỷ đồng. Đang kinh doanh quán cà phê, phù hợp kinh doanh hoặc xây mới",2025-08-13T03:50:57.031Z
1280,"86C Đường Võ Thị Sáu Phường Tân Định, Quận 1, Thành phố Hồ Chí Minh Việt Nam","86C Đường Võ Thị Sáu Phường Tân Định, Quận 1, Thành phố Hồ Chí Minh Việt Nam",55000000000,sale,shophouse,4.43,29.29,248.3,205.6,2,3,4,certificate,other,"Nhà phố mặt tiền 1 trệt 1 lầu cần bán tại địa chỉ 86C Võ Thị Sáu, phường Tân Định, Quận 1, TP. Hồ Chí Minh. Diện tích 205m², giá bán 55 tỷ đồng.",2025-08-13T03:49:00.322Z
1281,"137/40 Bến Vân Đồn, phường 6, 4, Hồ Chí Minh","137/40 Bến Vân Đồn, phường 6, Quận 4, Thành phố Hồ Chí Minh",3300000000,sale,alley_house,2.81,6.74,46.5,19.1,3,2,2,certificate,other,"Nhà riêng 1 trệt 2 lầu cần bán tại đường Bến Vân Đồn, phường 6, quận 4, TP. Hồ Chí Minh. Giá bán: 3,3 tỷ. Nhà nằm trong ngõ, phù hợp để ở hoặc đầu tư.",2025-08-13T03:38:29.247Z
1282,"121 Lê Văn Lương, Tân Kiểng, 7, Hồ Chí Minh","121 Lê Văn Lương, Tân Kiểng, Quận 7, Thành phố Hồ Chí Minh",32000000000,sale,townhouse,15.22,4,1365,137.8,4,5,9,certificate,other,"Bán nhà riêng tại đường Lê Văn Lương, phường Tân Kiểng, Quận 7, TP. Hồ Chí Minh. Giá bán: 32 tỷ Nhà nằm trong ngõ, phù hợp để ở hoặc đầu tư.",2025-08-13T03:29:18.733Z
1283,"20 Võ Công Tồn Tân Quý, Tân Phú, Hồ Chí Minh Việt Nam","20 Võ Công Tồn Tân Quý, Tân Phú, Hồ Chí Minh Việt Nam",12800000000,sale,townhouse,4,25,76.8,100,2,2,2,certificate,other,"Bán nhà phố mặt tiền tại số 20 Võ Công Tồn, phường Tân Quý, quận Tân Phú, TP. Hồ Chí Minh Diện tích: 100m² Kết cấu: trệt + lửng Giá bán: 12.8 tỷ VNĐ",2025-08-13T03:28:30.514Z
1284,"Lô C Âu Cơ, 5, 11, Hồ Chí Minh","Lô C Âu Cơ, Phường 5, Quận 11, Thành phố Hồ Chí Minh",2300000000,sale,apartment,0,0,58,0,1,1,2,certificate,other,"Chính chủ cần bán căn hộ diện tích 58m2, nằm ở tầng 2. Giá bán: 2 tỷ 300 triệu đồng (có thương lượng). Địa chỉ chi tiết và số điện thoại liên hệ ở phía dưới.",2025-08-13T03:26:47.066Z
1285,"217/96 Bùi Đình Túy, 24, Bình Thạnh, Hồ Chí Minh","217/96 Bùi Đình Túy, Phường 24, Bình Thạnh, Thành phố Hồ Chí Minh",13600000000,sale,alley_house,4,20,170,75.2,2,1,2,certificate,partially_furnished,"Nhà phố hẻm cần bán tại địa chỉ 217/96 Bùi Đình Túy, phường 24, quận Bình Thạnh, TP. Hồ Chí Minh. Diện tích 75.2m², Kết cấu 1 trệt 1 lầu Giá bán 13,6 tỷ VNĐ.",2025-08-13T03:23:02.133Z
1286,"42/14b Hoàng Hoa Thám, 7, Bình Thạnh, Hồ Chí Minh","42/14b Hoàng Hoa Thám, Phường 7, Bình Thạnh, Thành phố Hồ Chí Minh",22500000000,sale,villa,7.1,17.4,343.5,155.7,3,5,3,certificate,other,"Bán biệt thự đường Hoàng Hoa Thám, phường 7, quận Bình Thạnh – Giá 22,5 tỷ TL - Nhà riêng nằm trong hẻm, quận Bình Thạnh, TP. Hồ Chí Minh",2025-08-13T03:17:53.821Z
1287,"14 Đường số 6 kdc Nam Hùng Vương p An Lac, An Lạc, Bình Tân, Hồ Chí Minh","14 Đường số 6 kdc Nam Hùng Vương p An Lac, An Lạc, Bình Tân, Thành phố Hồ Chí Minh",8400000000,sale,alley_house,26,3,0,78,1,2,2,certificate,other,"Nhà 2 tầng cần bán tại Đường số 6, Phường An Lạc, Quận Bình Tân, TP. Hồ Chí Minh – Giá 8,4 tỷ Nhà riêng nằm trong hẻm, khu vực an ninh, phù hợp để ở hoặc đầu tư tại Quận Bình Tân.",2025-08-13T03:15:54.238Z
1288,"911/10/20A Đường Quang Trung, 14, Gò Vấp, Hồ Chí Minh","911/10/20A Đường Quang Trung, Phường 14, Gò Vấp, Thành phố Hồ Chí Minh",6500000000,sale,alley_house,3.3,12.28,152.4,40.5,4,3,4,certificate,other,"Bán nhà tại số 911/10/20A Quang Trung, P.14, Gò Vấp, TP. Hồ Chí Minh Diện tích: 40.5m² Giá bán: 6,5 tỷ TL",2025-08-13T03:08:49.878Z
1289,"129/9/8 Hoàng Văn Thụ, 8, Phú Nhuận, Hồ Chí Minh","129/9/8 Hoàng Văn Thụ, Phường 8, Phú Nhuận, Thành phố Hồ Chí Minh",5500000000,sale,alley_house,3,14.05,94.4,49.9,2,2,3,certificate,other,"Nhà 1 trệt 1 lầu cần bán tại đường Hoàng Văn Thụ, Phường 8, Quận Phú Nhuận, TP. Hồ Chí Minh. Giá bán: 5,5 tỷ. Nhà riêng nằm trong ngõ, phù hợp để ở hoặc đầu tư tại khu vực trung tâm Quận Phú Nhuận.",2025-08-13T02:58:05.354Z
1290,"333/30 Đường Trần Phú Phường 7, Quận 5, Hồ Chí Minh Việt Nam","333/30 Đường Trần Phú Phường 7, Quận 5, Hồ Chí Minh Việt Nam",10000000000,sale,alley_house,4,17,68,68,1,1,1,certificate,other,"Bán nhà phố mặt tiền tại 333/30 Trần Phú, P.7, Quận 5, TP. Hồ Chí Minh Diện tích: 68m² Kết cấu: nhà cấp 4 cũ tiện xây mới Giá bán: 10 tỷ TL",2025-08-13T02:50:44.776Z
1291,"79/34A35 Tân Hòa Đông, 14, 6, Hồ Chí Minh","79/34A35 Tân Hòa Đông, Phường 14, Quận 6, Thành phố Hồ Chí Minh",4500000000,sale,alley_house,4.5,9.75,40.8,47.6,1,2,3,certificate,other,"Nhà riêng cần bán tại hẻm 79/34A35 đường Tân Hòa Đông, Phường 14, Quận 6, TP. Hồ Chí Minh. Diện tích: 48m2 Giá bán: 4,5 tỷ Nhà nằm trong ngõ, phù hợp để ở hoặc đầu tư.",2025-08-13T02:49:24.176Z
1292,"182-182A Đường Lê Thị Bạch Cát Phường 11, Quận 11, Thành phố Hồ Chí Minh Việt Nam","182-182A Đường Lê Thị Bạch Cát Phường 11, Quận 11, Thành phố Hồ Chí Minh Việt Nam",35000000000,sale,townhouse,7.9,21,390,167.4,3,4,6,certificate,other,"Bán nhà phố mặt tiền tại số 182-182A Lê Thị Bạch Cát, P.11, Quận 11, TP. Hồ Chí Minh Diện tích: 167.4m² Giá bán: 35 tỷ VNĐ TL",2025-08-13T02:44:54.930Z
1293,"15/10 Cộng Hòa , 13, Tân Bình, Hồ Chí Minh","15/10 Cộng Hòa, Phường 13, Tân Bình, Thành phố Hồ Chí Minh",7500000000,sale,alley_house,3.4,11.1,88.9,37.9,3,3,4,certificate,partially_furnished,"Nhà phố mặt tiền cần bán tại địa chỉ 15/10 C1, phường 13, quận Tân Bình, TP. Hồ Chí Minh. Diện tích 37.9m², Giá bán 7,5 tỷ đồng.",2025-08-13T02:44:09.115Z
1294,"142/3 Võ Văn Kiệt, Nguyễn Thái Bình, 1, Hồ Chí Minh","142/3 Võ Văn Kiệt, Nguyễn Thái Bình, Quận 1, Thành phố Hồ Chí Minh",13000000000,sale,alley_house,3.84,14.08,81.16,54.07,2,1,1,certificate,other,"Bán nhà tại 142/3 Võ Văn Kiệt, Phường Nguyễn Thái Bình, Quận 1, TP.HCM Kết cấu: 1 trệt, 1 lững Diện tích: 54,07m² Giá bán: 13 tỷ TL",2025-08-13T02:41:11.621Z
1295,"343/4C Tô Hiến Thành, 12, 10, Hồ Chí Minh","343/4C Tô Hiến Thành, Phường 12, Quận 10, Thành phố Hồ Chí Minh",6200000000,sale,townhouse,2.66,10,72.6,25,3,2,3,certificate,partially_furnished,"Nhà phố hẻm cần bán tại địa chỉ 343/4C Tô Hiến Thành, P.12, Quận 10, TP. Hồ Chí Minh. Diện tích 25m², Kết cấu: 1 trệt lửng lầu Giá bán 6,2 tỷ đồng. TL",2025-08-13T02:26:02.813Z
1296,"32/103 -105 Ông Ích Khiêm, 14, 11, Hồ Chí Minh","32/103 -105 Ông Ích Khiêm, Phường 14, Quận 11, Thành phố Hồ Chí Minh",17000000000,sale,alley_house,9,13.1,157.6,112.7,2,4,4,certificate,other,"Bán nhà tại số 32/103-105 Ông Ích Khiêm, P.14, Quận 11, TP. Hồ Chí Minh 2 căn kế bên, mỗi căn 2 phòng ngủ, kết cấu trệt + lầu Diện tích: 112.7m² Giá bán: 17 tỷ TL",2025-08-13T02:24:44.821Z
1297,"14 Đường Số 42 Thảo Điền, Thủ Đức, Thành phố Hồ Chí Minh Việt Nam","14 Đường Số 42 Thảo Điền, Thủ Đức, Thành phố Hồ Chí Minh Việt Nam",1.4E+11,sale,villa,20,27,396,540.9,3,5,4,certificate,other,"Bán biệt thự mặt tiền tại số 42, đường 14, P. Thảo Điền, Thủ Đức, TP. Hồ Chí Minh Diện tích: 540.7m² Giá bán: 140 tỷ TL Vị trí đắc địa, thích hợp để ở hoặc đầu tư lâu dài",2025-08-13T02:19:30.612Z
1298,"413/3 Đường Lê Hồng Phong Phường 2, Quận 10, Thành phố Hồ Chí Minh Việt Nam","413/3 Đường Lê Hồng Phong Phường 2, Quận 10, Thành phố Hồ Chí Minh Việt Nam",4000000000,sale,alley_house,3.16,10.46,65.8,33,2,1,2,certificate,other,"Bán nhà 1 trệt 1 lầu tại đường Lê Hồng Phong, Phường 2, Quận 10, diện tích 33m² Đã có sổ đỏ rõ ràng Gồm 2 phòng ngủ và 1 phòng vệ sinh Giá chào: 4 tỷ đồng Địa chỉ: 413/3, đường Lê Hồng Phong, Phường 2, Quận 10",2025-08-12T09:48:49.892Z
1299,"94 Đường số 15, An Phú, Thủ Đức, Hồ Chí Minh","94 Đường số 15, An Phú, Thủ Đức, Thành phố Hồ Chí Minh",50000000000,sale,townhouse,10,20,277.3,200,3,5,4,certificate,other,"Bán nhà tại số 94đường 15, P. An Phú, Thủ Đức, TP. Hồ Chí Minh Diện tích: 200m² Kết cấu: 3 tầng Giá bán: 50 tỷ TL",2025-08-12T09:41:54.577Z
1300,"56 Đường Số 32 Phường Tân Phong, Quận 7, Thành phố Hồ Chí Minh Việt Nam","56 Đường Số 32 Phường Tân Phong, Quận 7, Thành phố Hồ Chí Minh Việt Nam",26500000000,sale,townhouse,5.6,18,334.18,93.4,5,6,6,certificate,other,"Bán nhà phố mặt tiền tại số 56, đường 32, phường Tân Phong, quận 7, TP. Hồ Chí Minh Kết cấu: Hầm, trệt, 2 lầu + mái che thang Diện tích: 93.4m² Giá bán: 26.5 tỷ TL",2025-08-12T09:40:29.526Z
1301,"704/47/17 Hương Lộ 2 Bình Trị Đông A, Bình Tân, Thành phố Hồ Chí Minh Việt Nam","704/47/17 Hương Lộ 2 Bình Trị Đông A, Bình Tân, Thành phố Hồ Chí Minh Việt Nam",3950000000,sale,alley_house,3.3,11.87,59,39.3,2,1,2,certificate,other,"Bán nhà đường Hương Lộ 2, Bình Tân diện tích 40m² Nhà còn mới, thoáng mát, khu vực an ninh cao, dân cư thân thiện, thuận tiện di chuyển các quận trung tâm, gần ủy ban, chợ và trường học. Giá bán: 3,95 tỷ đồng Địa chỉ: 704/47/17, Đường Hương Lộ 2, Phường Bình Trị Đông A, Quận Bình Tân",2025-08-12T09:38:06.533Z
1302,"71 Đường Ca Văn Thỉnh, 10, Tân Bình, Hồ Chí Minh","71 Đường Ca Văn Thỉnh, Phường 10, Tân Bình, Thành phố Hồ Chí Minh",27500000000,sale,townhouse,5,27,0,132.8,5,6,6,certificate,partially_furnished,"Nhà phố mặt tiền cần bán tại số 71 Ca Văn Thỉnh, phường 10, quận Tân Bình, TP. Hồ Chí Minh. Diện tích: 135m² Kết cấu: 1 trệt 4 lầu Giá bán: 27,5 tỷ VNĐ",2025-08-12T09:37:05.917Z
1303,"224/45/7 Thạnh Xuân 22, Thạnh Xuân, 12, Hồ Chí Minh","224/45/7 Thạnh Xuân 22, Thạnh Xuân, Quận 12, Thành phố Hồ Chí Minh",4600000000,sale,alley_house,4,10,114.5,50.1,3,3,3,certificate,other,"Bán nhà đường Thạnh Xuân 22, Phường Thạnh Xuân, Quận 12, diện tích 52m² Nhà gồm 1 trệt và 2 lầu, để lại nội thất cơ bản, phù hợp để ở hoặc đầu tư. Công năng gồm 3 phòng ngủ, 3 phòng vệ sinh, đường đã được trải nhựa sạch sẽ. Giá chào: 4.6 tỷ đồng.",2025-08-12T09:31:35.255Z
1304,"06 Thăng Long, 4, Tân Bình, Hồ Chí Minh","06 Thăng Long, Phường 4, Tân Bình, Thành phố Hồ Chí Minh",17000000000,sale,townhouse,4.4,7.6,0,34,1,1,1,certificate,other,"Bán nhà 1 lầu tại Đường Thăng Long, P.4, Quận Tân Bình Vị trí: Trong ngõ, thuận tiện di chuyển và sinh hoạt Giá bán: 17 tỷ đồng Loại hình: Nhà riêng, phù hợp để ở hoặc đầu tư",2025-08-12T09:27:42.498Z
1305,"112 - 114 - 134c Đường Lê Trung Nghĩa, 12, Tân Bình, Hồ Chí Minh","112 - 114 - 134c Đường Lê Trung Nghĩa, Phường 12, Tân Bình, Thành phố Hồ Chí Minh",50000000000,sale,townhouse,11,27,0,298,1,1,1,certificate,other,"Bán nhà phố mặt tiền tại số 112 - 114 - 134/2b đường Lê Trung Nghĩa, phường 12, quận Tân Bình, TP. Hồ Chí Minh Diện tích: 136.7 m² Kết cấu: nhà cấp 4 tiện xây mới Giá bán: 50 tỷ TL",2025-08-12T09:19:14.596Z
1306,"106 Đường Nghĩa Phát Phường 6, Tân Bình, Thành phố Hồ Chí Minh Việt Nam","106 Đường Nghĩa Phát Phường 6, Tân Bình, Thành phố Hồ Chí Minh Việt Nam",14000000000,sale,townhouse,3.55,13.92,98.4,49.2,2,3,3,certificate,other,"Bán nhà phố mặt tiền tại số 106 Nghĩa Phát, P.6, Tân Bình, TP. Hồ Chí Minh Diện tích: 49.2m² Giá bán: 14 tỷ VNĐ TL",2025-08-12T09:17:50.565Z
1307,"489A/23/117 Huỳnh Văn Bánh, 13, Phú Nhuận, Hồ Chí Minh","489A/23/117 Huỳnh Văn Bánh, Phường 13, Phú Nhuận, Thành phố Hồ Chí Minh",19800000000,sale,alley_house,4.75,15.35,0,74.6,5,14,14,certificate,other,"Bán nhà tại 489A/23/117 Huỳnh Văn Bánh, P.13, Q Phú Nhuận Kết cấu: Trệt, lững, 3 lầu + sân thượng Hiện có 14 phòng anh đang cho thuê 68tr/ tháng nguyên căn Diện tích: 74.6m² Giá bán: 19.8 tỷ TL",2025-08-12T09:14:41.853Z
1308,"52/14 Đường Nguyễn Sỹ Sách, 15, Tân Bình, Hồ Chí Minh","52/14 Đường Nguyễn Sỹ Sách, Phường 15, Tân Bình, Thành phố Hồ Chí Minh",13500000000,sale,alley_house,5,25.2,147.84,126.62,2,2,1,certificate,other,"Bán nhà tại 52/14 Nguyễn Sỹ Sách, P.15, Tân Bình, TP. Hồ Chí Minh Kết cấu: trệt + lững Diện tích: 126.62m² Giá bán: 13,5 tỷ TL",2025-08-12T09:14:20.748Z
1309,"160/73F Đường Vườn Lài, Tân Thành, Tân Phú, Hồ Chí Minh","160/73F Đường Vườn Lài, Tân Thành, Tân Phú, Thành phố Hồ Chí Minh",22000000000,sale,alley_house,62,20.2,458.9,105.3,4,7,7,certificate,partially_furnished,"160/73F Vườn Lài phường Tân Thành quận Tân Phú - Diện tích: 6.2x20.2, công nhận 105.3m2 - Kết cấu: trệt lửng 3 lầu ST. DT sàn: 458.9m2 + Trệt + lửng: cà phê + Lầu 1: penthouse + Lầu 2-3: 6 căn hộ dịch vụ (có lối đi riêng lên CHDV) + Sân thượng: trống - Hợp đồng thuê: 48 triệu/tháng - Có thể giao nhà trống - Giá: 22 tỷ",2025-08-12T08:43:59.368Z
1310,"L27 CXVH Bến Vân Đồn, 9, 4, Hồ Chí Minh","L27 CXVH Bến Vân Đồn, Phường 9, Quận 4, Thành phố Hồ Chí Minh",3333000000,sale,apartment_building,0,0,54,0,1,1,1,certificate,other,"Nhà bán mặt tiền đường Hoàng Diệu, Phường 9, Quận 4, diện tích 54m2, giá 3,333 tỷ – Sổ hồng riêng – Vị trí mặt tiền Hoàng Diệu – Chỉ mất chưa đến 5 phút đi bộ sang Quận 1 – Giao thông thuận tiện, dễ dàng di chuyển Giá bán: 3,333 tỷ Địa chỉ: L27, Đường Hoàng Diệu, Phường 9, Quận 4",2025-08-12T08:35:40.522Z
1311,"272/2/5 Gò Xoài, Bình Hưng Hoà A, Bình Tân, Hồ Chí Minh","272/2/5 Gò Xoài, Bình Hưng Hoà A, Bình Tân, Thành phố Hồ Chí Minh",4950000000,sale,alley_house,4,11.2,85,42.8,2,2,2,certificate,other,"Bán nhà đường Gò Xoài, phường Bình Hưng Hòa A, quận Bình Tân, diện tích 43m² . Khu vực đông đúc, gần chợ Gò Xoài, đầy đủ tiện ích như chợ, trường học, cách trung tâm thương mại 100 mét. Diện tích: 4×11.2 mét, gồm 1 trệt, 1 lầu, 1 phòng khách, 1 bếp, 2 phòng ngủ, 2 toilet. Giá chào: 4.95 tỷ đồng. TL Địa chỉ: 272/2/5 Gò Xoài, phường Bình Hưng Hòa A, quận Bình Tân.",2025-08-12T08:15:20.043Z
